id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
912,29289.16,31326.5,31067.68,darkstar.2674
913,7652.42,7826.26,6462.04,Dzjudz.9142
914,32384.27,44273.74,46890.35,Rawr.9467
915,39512.15,45633.4,42066.78,Baseraver.7241
916,44617.85,46158.33,39746.91,Scapegoat.4783
917,3658.57,4116.29,5501.27,Radon.6710
918,32478.33,35777.41,47026.88,spinerek.1250
919,23488.33,22542.99,15935.92,Mooshh.9675
920,17621.28,21000.99,15167.8,Master Dragon.6712
921,13395.02,12237.22,11764.97,Kostick.6273
922,1484.45,1828.23,951.15,Carlock.9834
923,25989.19,27471.39,22897.61,Hoy.2308
924,14885.2,16480.87,13389.92,llResull.7913
925,27052.67,28906.77,21506.83,Titania.5097
926,33628.0,36387.48,33351.27,Pazu.8320
927,3547.53,2806.84,2596.42,Ganondwarf.6852
928,18801.01,19384.81,15848.77,matti.8506
929,12052.84,13241.06,8983.76,Microchasm.9843
930,20956.26,19936.86,20557.06,shadowblade.3248
931,4680.71,4377.15,5190.35,kingofdeath.4920
932,42336.15,43590.56,39648.93,Puffin.2136
933,32159.97,31107.78,27253.64,Gracielline.8126
934,26258.34,34986.32,0.0,Classic GD.5872
935,18534.71,24414.1,20918.72,Uhyobedabit.6385
936,35588.77,25545.8,19952.91,Renzito.8092
937,4138.52,5921.91,6785.08,Fajita.8326
938,17850.31,15293.23,19420.88,ZeryN.8907
939,31172.65,36801.67,34650.24,VSMAUG.9437
940,41624.03,36968.61,30493.34,Durate.2368
941,40875.47,40801.29,40466.07,birads.3645
942,30844.93,27998.97,31354.48,Tyuu.3790
943,21252.62,27195.11,27375.67,Azael.5792
944,3157.05,4209.56,4992.38,Garr.6289
945,36375.44,37669.63,40255.63,rekna.1742
946,35194.06,37683.9,41758.21,Puffin.2136
947,16613.15,14625.18,21394.56,extented.1452
948,39629.73,34340.59,40179.01,Mahkookeh.9067
949,26588.15,30299.96,34502.94,Alaska.2798
950,20505.4,20466.51,22829.29,Bombzee.1358
951,27996.86,28764.47,31636.64,Zizzac.8751
952,32561.9,28018.69,38368.26,Ampel.7259
953,6764.17,7080.71,8372.08,Basriel.3945
954,21759.7,26068.58,30863.59,GEHZ.8965
955,13688.73,15832.99,16320.31,Tammo.9342
956,34199.57,35490.83,37798.95,Nessaiy.4597
957,19420.46,18361.65,22845.36,Levendril.1648
958,4039.24,5300.6,4685.47,Tigasis Rokumon.3586
959,22611.92,22890.97,20888.23,Etiedus.3582
960,23979.97,26227.35,28830.71,zujh.5697
961,17267.26,11732.57,18340.4,Blaust.3026
962,138.13,300.72,201.69,killazilla.3057
963,26866.18,24947.45,32621.23,Anubis.4301
964,35049.08,26295.67,32929.95,Ablu.9528
965,23540.58,24398.06,26721.82,OriginAS.7614
966,34713.95,34788.24,41531.23,Tiberious Septum.6035
967,21249.71,15666.18,24625.28,Caitelady.6927
968,29336.53,22004.19,25037.1,Infonaut.7483
969,2562.71,1714.81,4804.72,ChrisLBC.1954
970,17988.68,14845.93,16127.02,Cocoa.3471
971,6155.09,6377.06,6234.57,Illiikratha.7305
